ticker,company_name,objective_status,debt_ratio,investment_ratio,income_ratio,illiquid_assets_ratio,net_liquid_assets_ratio,share_price,final_shariah_status,source_document,source_period,notes
PECO,Pakistan Engineering Co. Ltd,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
PIAHCLB,PIA Holding Company LimitedB,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
REGAL,Regal Ceramics Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
SDOT,Sadoon Textile Industries Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
SFAT,Safa Textiles Ltd,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
SURAJ,Suraj Ghee Industries Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
TAJT,Taj Textile Mills Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
USMT,Usman Textile Mills Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
ZELP,Zeal Pak Cement Factory Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
FCONM,First Constellation Modaraba,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent Shariah certificate is available therefore no shariah opinion is drawn
FIM,First Investec Modaraba,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent Shariah certificate is available therefore no shariah opinion is drawn
UCAPM,Unicap Modaraba,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent Shariah certificate is available therefore no shariah opinion is drawn
