ticker,company_name,objective_status,debt_ratio,investment_ratio,income_ratio,illiquid_assets_ratio,net_liquid_assets_ratio,share_price,final_shariah_status,source_document,source_period,notes
RUBY,Ruby Textile Mills Ltd,Compliant,13.35%,0.00%,0.00%,96.28%,(3.60),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
RUPL,Rupali Polyester Ltd,Compliant,30.82%,0.00%,1.79%,85.61%,(129.79),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SAIF,Saif Textile Mills Ltd,Compliant,39.05%,0.03%,0.01%,77.49%,(287.51),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SANE,Salman Noman Enterprises Ltd,Compliant,104.77%,0.00%,0.00%,91.95%,(254.55),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SANSM,Sanghar Sugar Mills Ltd,Compliant,0.31%,0.00%,0.05%,93.10%,(207.72),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
SAPT,Sapphire Textile Mills,Compliant,31.36%,7.70%,1.18%,71.91%,(1655.49),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SARC,Sardar Chemical Industries,Compliant,13.87%,0.00%,0.19%,43.80%,26.14,81.22,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SASML,Sindh Abadgar's Sugar Mills Ltd,Compliant,14.09%,0.00%,0.21%,86.38%,(246.82),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
SAZEW,Sazgar Engineering Works,Compliant,0.41%,0.00%,0.00%,56.07%,(125.25),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SCL,Shield Corporation Ltd,Compliant,0.00%,0.00%,0.00%,86.81%,(178.34),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SEARL,Searle Company Ltd,Compliant,3.43%,0.00%,0.89%,53.32%,11.56,119.97,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SEL,Sitara Energy Ltd,Compliant,20.05%,0.00%,0.00%,73.42%,(38.50),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SEPL,Security Papers Ltd,Compliant,0.00%,47.52%,6.95%,31.27%,93.21,158.18,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SERT,Service Industries Textiles Limited,Compliant,3.13%,0.00%,0.00%,93.85%,(44.16),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SFL,Sapphire Fibres Ltd,Compliant,15.14%,45.49%,12.14%,30.47%,45591.01,1187.29,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SGABL,SG.Allied Businesses Limited,Compliant,5.99%,0.00%,0.00%,96.63%,(14.88),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SGF,Service Global Footwear Limited,Compliant,26.30%,0.45%,0.43%,66.91%,(27.22),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SGPL,SG Power Ltd,Compliant,0.00%,0.00%,0.00%,34.77%,(0.35),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SHCI,Shaffi Chemical Industries Ltd,Compliant,114.95%,62.24%,6.82%,23.42%,(5.62),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SHCM,Shadman Cotton Mills,Compliant,17.40%,0.00%,0.00%,90.22%,(24.73),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SHDT,Shadab Textile Mills Ltd,Compliant,16.53%,0.00%,0.01%,76.30%,(29.77),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SHEZ,Shezan International Ltd,Compliant,39.05%,0.00%,0.00%,73.73%,(164.02),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SHFA,Shifa International Hospitals,Compliant,4.49%,3.97%,0.17%,74.58%,(30.43),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SHJS,Shahtaj Sugar Mills Ltd,Compliant,47.49%,0.00%,0.14%,92.06%,(371.85),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
SHSML,Shahmurad Sugar Mills Ltd,Compliant,13.45%,0.00%,0.09%,87.60%,(362.41),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
SIEM,Siemens (Pakistan) Engineering,Compliant,4.70%,0.00%,1.95%,13.24%,522.10,1620.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts. Compliant with relaxation over the illiquid-assets / net-liquid-assets screen.
SITC,Sitara Chemical Industries Ltd,Compliant,0.33%,0.00%,0.00%,86.41%,(1096.68),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SKRS,Sakrand Sugar Mills Ltd,Compliant,32.19%,0.15%,0.01%,97.94%,(74.06),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
SLGL,Secure Logistics Group Limited,Compliant,11.02%,0.00%,0.35%,80.52%,(1.00),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
SLYT,Sally Textile Mills Ltd,Compliant,97.70%,0.00%,0.00%,88.41%,(204.17),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SMCPL,Safe Mix Concrete Ltd,Compliant,2.42%,0.00%,0.00%,36.74%,(4.24),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SML,Shakarganj Limited,Compliant,2.00%,0.00%,0.00%,80.62%,(93.99),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
SNAI,Sana Industries Ltd,Compliant,10.79%,0.25%,0.02%,47.86%,(22.10),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
